,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Beringer Founders' Estate Cabernet Sauvignon 2012 Central California,6.0,4.0,14.99,red wine,,,,california,0.6666666666666666
"Beringer Founders' Estate Chardonnay 2015/16, Central and N. California",7.0,7.0,14.99,white wine,,,,california,1.0
Beringer Knights Valley Napa Cabernet 2015,0.0,0.0,30.0,red wine,,,,,
Beyerskloof Reserve Pinotage 2016 Western Cape,112.0,104.0,10.99,red wine,south-african,new world,,,0.9285714285714286
Bienbebido Pulpo Albariño 2016 Vintae,56.0,53.0,8.99,white wine,spanish,old world,,,0.9464285714285714
Black Cottage Pinot Gris 2016 Marlborough,28.0,26.0,12.99,white wine,new-zealand,new world,,marlborough wine,0.9285714285714286
Black Cottage Rosé 2016 Marlborough,17.0,17.0,12.99,rose wine,new-zealand,new world,,marlborough wine,1.0
Black Cottage Sauvignon Blanc 2016 Marlborough,120.0,109.0,11.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9083333333333333
Blind River Tekau Sauvignon Blanc 2015 Awatere Valley,9.0,7.0,22.0,fine wine,,,sauvignon blanc,,0.7777777777777778
Bodega Volcanes Carmenere 2016,29.0,24.0,11.99,red wine,chilean,new world,,,0.8275862068965517
Boschendal Lanoy Sauvignon Blanc 2016 Coastal Region,70.0,59.0,9.99,white wine,south-african,new world,sauvignon blanc,,0.8428571428571429
Bourgogne Chardonnay 'Les Chenaudières' 2016 Cave de Lugny,67.0,61.0,11.99,white wine,french,old world,,,0.9104477611940298
Bourgogne Chardonnay Domaine Jomain 2016,5.0,4.0,16.99,white wine,,,,,0.8
Bourgogne Chardonnay Thibert,2.0,1.0,14.99,white wine,french,old world,,burgundy,0.5
Bourgogne Côte Chalonnaise 2016 La Buxynoise,9.0,8.0,13.99,white wine,french,old world,,,0.8888888888888888
Bourgogne Pinot Noir 2015 Louis Latour,25.0,15.0,16.99,red wine,french,old world,pinot noir,,0.6
Bourgogne Pinot Noir 2015 Nicolas Potel,82.0,68.0,13.99,red wine,french,old world,pinot noir,,0.8292682926829268
Bouvet Ladubay Saumur NV France,97.0,93.0,12.99,white wine,french,old world,,,0.9587628865979382
Bouvet Saumur Rosé Brut ,38.0,37.0,12.99,white wine,french,old world,,,0.9736842105263158
Brancott Estate Sauvignon Blanc 2016 Marlborough,326.0,298.0,10.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9141104294478528
Brown Brothers Orange Muscat and Flora Half Bottle,16.0,16.0,8.99,white wine,australian,new world,,,1.0
Caixas Albariño 2016 Rías Baixas,129.0,120.0,9.99,white wine,spanish,old world,,,0.9302325581395349
Campofiorin 2014 Masi,68.0,58.0,14.99,red wine,italian,old world,,,0.8529411764705882
Capaia Merlot Cabernet 2015,82.0,72.0,10.99,red wine,south-african,new world,merlot,,0.8780487804878049
Capo Martino 2012 Jermann,0.0,0.0,50.0,fine wine,italian,old world,,,
Carlino Bianco 2016,5.0,4.0,5.99,white wine,,,,,0.8
Carlino Rosso 2016,17.0,13.0,5.99,red wine,italian,old world,,,0.7647058823529411
Castelnau de Suduiraut 2011 Sauternes,3.0,3.0,13.99,white wine,french,old world,sauvignon blanc,bordeaux,1.0
Castillo de Albai Rioja,4.0,4.0,8.99,red wine,,,,,1.0
Catena Barrel Fermented Chardonnay 2016 Mendoza,30.0,26.0,13.99,white wine,argentinian,new world,chardonnay,,0.8666666666666667
Catena Malbec 2015 Mendoza,198.0,186.0,13.99,red wine,argentinian,new world,malbec,,0.9393939393939394
Ch. Clos de Vaulicheres Chablis 1er Cru Vaucoupin 2015,0.0,0.0,27.99,fine wine,,,,chablis,
Chablis 'La Maladière' 2015 William Fèvre,24.0,21.0,16.99,white wine,french,old world,chardonnay,burgundy,0.875
Chablis 1er Cru 'Montmains' 2013 Vocoret,11.0,11.0,22.99,white wine,french,old world,chardonnay,burgundy,1.0
Chablis 1er Cru Côte de Léchet 2003 Defaix-Raveneau,2.0,2.0,30.0,fine wine,french,old world,,burgundy,1.0
Chablis 1er Cru Fourchaume 2016 Séguinot-Bordet,7.0,6.0,25.0,fine wine,french,old world,chardonnay,burgundy,0.8571428571428571
Chablis 1er Cru Fourchaume Domaine Chatelain,2.0,2.0,27.99,white wine,french,old world,,burgundy,1.0
Chablis Elodie Duprés 2016,21.0,20.0,16.99,white wine,french,old world,chardonnay,burgundy,0.9523809523809523
Chablis Grand Acacia J. Moreau & Fils,0.0,0.0,18.99,white wine,french,old world,,burgundy,
Chablis Vieilles Vignes 2016 Vocoret,12.0,12.0,19.99,white wine,french,old world,,burgundy,1.0
Champ Libre Chenin Blanc 2016,11.0,7.0,9.99,white wine,french,old world,sauvignon blanc,,0.6363636363636364
Chandon Brut NV Argentina,29.0,27.0,17.99,white wine,argentinian,new world,chardonnay,,0.9310344827586207
Chandon Rosé NV Argentina,16.0,16.0,17.99,white wine,,,chardonnay,,1.0
Chapel Down Brut NV England,44.0,42.0,22.99,white wine,,,chardonnay,,0.9545454545454546
Charmes De Kirwan 2010,7.0,6.0,35.0,fine wine,french,old world,,bordeaux,0.8571428571428571
Chateau Cotes De Blaignan 2014 Medoc,10.0,8.0,12.99,red wine,french,old world,merlot,bordeaux,0.8
Chateau D'Arsac Margaux,0.0,0.0,28.0,red wine,,,,,
Chateau Musar 2001,0.0,0.0,33.0,fine wine,,,,,
Chateau Tour Haut Caussan,3.0,2.0,14.99,red wine,,,,,0.6666666666666666
Chateau Vieux Maillet Pomerol 2007,0.0,0.0,32.0,fine wine,french,old world,,bordeaux,
Chateau de Chassagne Montrachet 2014,0.0,0.0,39.99,fine wine,,,,,
Chateau de Fesles Anjou Blanc 2015,0.0,0.0,13.99,white wine,french,old world,,,
Chianti Classico Riserva 2013 Villa Antinori,4.0,3.0,25.0,fine wine,italian,old world,,,0.75
Chianti Poggio Galiga 2015 Grati,69.0,55.0,9.99,red wine,italian,old world,,,0.7971014492753623
Chronic Cellars Eunice X 2015,4.0,3.0,17.99,white wine,,,,,0.75
Chronic Cellars Purple Paradise 2015 Paso Robles,85.0,76.0,17.99,red wine,,,,,0.8941176470588236
"Château Cantemerle 2005 Haut-Médoc, 5ème Cru Classé",0.0,0.0,65.0,fine wine,french,old world,merlot,bordeaux,
Château Chantalouette 2014  Pomerol,12.0,8.0,22.99,red wine,french,old world,,bordeaux,0.6666666666666666
Château Coufran 2006 Haut-Médoc Cru Bourgeois Supérieur,30.0,22.0,18.99,red wine,french,old world,,bordeaux,0.7333333333333333
Château D'Yquem 1990 Sauternes,0.0,0.0,450.0,fine wine,french,old world,sauvignon blanc,bordeaux,
Château Doisy Daene 2005,0.0,0.0,35.0,fine wine,,,,,
"Château Grand Puy Lacoste 2000 Pauillac, 5ème Cru Classé",0.0,0.0,175.0,fine wine,french,old world,merlot,bordeaux,
"Château Guiot Rosé 2015 Costières de Nîmes, France",37.0,30.0,8.99,rose wine,french,old world,,,0.8108108108108109
Château Herve Laroque 2014 Fronsac,23.0,20.0,14.99,red wine,french,old world,,bordeaux,0.8695652173913043
"Château La Rame 2015 Ste-Croix-du-Mont, 50cl",10.0,10.0,14.99,white wine,french,old world,sauvignon blanc,bordeaux,1.0
Château Montviel Pomerol 2002,0.0,0.0,35.0,fine wine,french,old world,,bordeaux,
Château Moulin de Curat 2014,2.0,0.0,12.99,red wine,,,,,0.0
Château Musar 1998 Gaston Hochar,0.0,0.0,37.0,fine wine,,,,,
Château Musar 2000 Gaston Hochar,0.0,0.0,33.0,fine wine,,,,,
Château Musar 2006 Gaston Hochar,55.0,50.0,27.99,red wine,,,,,0.9090909090909091
Château Musar 2006 Gaston Hochar Magnum,3.0,3.0,54.99,red wine,,,,,1.0
Château Musar White 2007 Gaston Hochar,18.0,10.0,22.0,fine wine,,,,,0.5555555555555556
Château Méaume 2013 Bordeaux Supérieur,119.0,95.0,11.99,red wine,french,old world,merlot,bordeaux,0.7983193277310925
"Château Pierbone 2006, Médoc",21.0,17.0,11.99,red wine,french,old world,,bordeaux,0.8095238095238095
Château Pierrousselle 2015,6.0,4.0,8.99,red wine,french,old world,,,0.6666666666666666
Château Pigoudet ?La Chapelle? Rosé 2016 Coteaux d?Aix-en-Provence,35.0,33.0,12.99,rose wine,french,old world,,,0.9428571428571428
Château Recougne 2015 Bordeaux Supérieur,107.0,89.0,9.99,red wine,french,old world,merlot,bordeaux,0.8317757009345794
Château Tour Massac Margaux  2010,0.0,0.0,35.0,red wine,french,old world,,bordeaux,
Château Tronquoy-Lalande St Estephe 2013,2.0,2.0,29.99,fine wine,french,old world,,bordeaux,1.0
Château de Berne Rosé 2016 Côtes de Provence,76.0,64.0,15.99,rose wine,french,old world,,,0.8421052631578947
Château de Pennautier 2015 Cabardès,46.0,38.0,11.99,red wine,french,old world,merlot,south of france,0.8260869565217391
Château de Tracy 2016 Pouilly-Fumé,8.0,8.0,25.0,fine wine,french,old world,,,1.0
Château des Maures 2015 Lalande de Pomerol,9.0,5.0,15.99,red wine,french,old world,,bordeaux,0.5555555555555556
Château d?Yquem 1988 Sauternes,2.0,2.0,480.0,fine wine,french,old world,sauvignon blanc,bordeaux,1.0
Châteauneuf du Pape Prestige De Princes 2015,7.0,6.0,21.99,red wine,french,old world,,,0.8571428571428571
Châteauneuf-du-Pape 2012 Clos de L'Oratoire,3.0,3.0,61.99,red wine,french,old world,,,1.0
Châteauneuf-du-Pape Vignoble Abeille 2014 Mont Redon,13.0,13.0,28.0,fine wine,french,old world,,,1.0
Cillar De Silos Amalio 2014,0.0,0.0,50.0,fine wine,,,,,
Cillar de Silos Crianza 2014 Ribera del Duero,36.0,30.0,19.99,red wine,spanish,old world,tempranillo,,0.8333333333333334
Clos du Bois Chardonnay 2015 North Coast,18.0,16.0,16.99,white wine,,,chardonnay,california,0.8888888888888888
Cloudy Bay Pelorus NV,52.0,45.0,24.99,white wine,new-zealand,new world,,,0.8653846153846154
Cloudy Bay Pelorus Rosé NV New Zealand,11.0,10.0,24.99,white wine,new-zealand,new world,chardonnay,,0.9090909090909091
Cloudy Bay Sauvignon Blanc 2017 Marlborough,76.0,71.0,25.99,white wine,new-zealand,new world,,marlborough wine,0.9342105263157895
Commanderie de Peyrassol Rosé 2016 Côtes de Provence,19.0,16.0,13.99,rose wine,french,old world,,,0.8421052631578947
Conde de San Cristobal 2014 Ribera del Duero,13.0,11.0,16.99,red wine,spanish,old world,tempranillo,,0.8461538461538461
Contesa Pecorino 2016 IGT Colline Pescaresi,62.0,57.0,9.99,white wine,italian,old world,,,0.9193548387096774
Copertino 2013 Masseria Monaci,55.0,47.0,9.99,red wine,italian,old world,,,0.8545454545454545
Corolla Nero d'Avola 2016 Sicily,86.0,76.0,8.99,red wine,italian,old world,,,0.8837209302325582
"Cortese 2017 Araldica, Piemonte",10.0,9.0,8.99,white wine,italian,old world,,,0.9
"Craggy Range Te Kahu 2013 Gimblett Gravels, Hawke's Bay",12.0,11.0,17.99,red wine,new-zealand,new world,merlot,,0.9166666666666666
"Cuvée Diane 2012 Viñalba, Mendoza",9.0,8.0,40.0,fine wine,argentinian,new world,,,0.8888888888888888
Cuvée Sainte Geneviève Rouge nv Vin de France,23.0,14.0,6.99,red wine,french,old world,,south of france,0.6086956521739131
Côte de Beaune-Villages 2014 Louis Jadot,18.0,13.0,21.49,red wine,french,old world,pinot noir,burgundy,0.7222222222222222
Côte de Nuits-Villages 2014 Nicolas Potel,20.0,16.0,19.99,red wine,french,old world,pinot noir,,0.8
Côtes du Rhône 2014 E. Guigal,196.0,183.0,12.99,red wine,french,old world,,,0.9336734693877551
Côtes du Rhône 2015 Vidal-Fleury,54.0,49.0,11.99,red wine,french,old world,,,0.9074074074074074
Côtes du Rhône Belleruche 2016 M.Chapoutier,155.0,140.0,11.99,red wine,french,old world,,,0.9032258064516129
Côtes-Du-Rhône 2016 Les Fustiers,57.0,44.0,8.99,red wine,french,old world,,,0.7719298245614035
Côtes-du-Rhône Blanc 2016 Léon Perdigal,22.0,20.0,9.99,white wine,french,old world,,,0.9090909090909091
Côté Mas Rouge 2016 PGI Pays d'Oc,40.0,34.0,7.99,red wine,french,old world,merlot,south of france,0.85
"Days of Summer 2016 Miguel Torres, Itata Valley",23.0,20.0,8.99,white wine,chilean,new world,,,0.8695652173913043
"Decoy Zinfandel 2015 Duckhorn, Sonoma County",13.0,11.0,25.0,red wine,,,,california,0.8461538461538461
Definition Albarino 2016,21.0,21.0,11.99,white wine,spanish,old world,,,1.0
Definition Beaujolais Villages 2016,33.0,29.0,11.99,red wine,french,old world,,,0.8787878787878788
Definition Chardonnay 2016,55.0,51.0,11.99,white wine,french,old world,,south of france,0.9272727272727272
Definition Chenin Blanc 2017,18.0,17.0,12.99,white wine,south-african,new world,,,0.9444444444444444
Definition Chianti Classico 2013,40.0,32.0,12.99,red wine,italian,old world,,,0.8
Definition Claret 2012,43.0,30.0,13.99,red wine,french,old world,merlot,bordeaux,0.6976744186046512
Definition Côtes Du Rhône 2016,84.0,70.0,10.99,red wine,french,old world,,,0.8333333333333334
Definition Gavi DOCG 2017,0.0,0.0,11.99,white wine,italian,old world,,,
Definition Gruner Veltliner 2017,7.0,7.0,10.99,white wine,,,,,1.0
Definition Marlborough Pinot Noir 2016,39.0,38.0,15.99,red wine,new-zealand,new world,,marlborough wine,0.9743589743589743
Definition Marlborough Sauvignon Blanc 2016,61.0,55.0,10.99,white wine,new-zealand,new world,,marlborough wine,0.9016393442622951
Definition Medoc Claret,0.0,0.0,11.99,red wine,,,,,
Definition Pinot Grigio 2016,32.0,28.0,11.99,white wine,italian,old world,,,0.875
Definition Provence Rosé 2016,7.0,5.0,11.99,rose wine,,,,,0.7142857142857143
Definition Shiraz 2016,25.0,21.0,12.99,red wine,australian,new world,,,0.84
Definition Viognier,51.0,41.0,10.99,white wine,french,old world,,south of france,0.803921568627451
Definition Zinfandel 2016,133.0,130.0,9.99,red wine,,,,california,0.9774436090225563
"Dehesa Gago, Tinta de Toro 2016",1.0,1.0,14.99,red wine,,,,,1.0
Devil's Creek Marlborough Sauvignon Blanc 2016,119.0,109.0,9.99,white wine,new-zealand,new world,,marlborough wine,0.9159663865546218
Devil's Creek Pinot Noir,5.0,2.0,11.99,red wine,new-zealand,new world,,marlborough wine,0.4
Diemersdal Gruner Veltliner 2017 Durbanville,12.0,10.0,11.99,white wine,south-african,new world,,,0.8333333333333334
Dogajolo Carpineto 2015 Toscana,77.0,66.0,11.99,red wine,italian,old world,,,0.8571428571428571
Dolcetto d?Alba 2015 De Forville,21.0,16.0,11.99,red wine,italian,old world,,,0.7619047619047619
Domaine Bouzereau Gruere Puligny Montrachet 2015,0.0,0.0,43.0,fine wine,,,chardonnay,,
Domaine Chatelain Chablis 2015,5.0,4.0,17.99,white wine,french,old world,chardonnay,burgundy,0.8
Domaine Compostelle Pomerol 2011,1.0,1.0,26.99,red wine,french,old world,,bordeaux,1.0
Domaine La Chautarde Rosé 2016/17 Côteaux Varois en Provence,98.0,89.0,9.99,rose wine,french,old world,,,0.9081632653061225
Domaine Les Yeuses 'Les Epices' Syrah 2015 PGI Pays d'Oc,57.0,46.0,9.99,red wine,french,old world,,south of france,0.8070175438596491
Domaine Martin St Veran 'Les Maillettes' 2015,6.0,6.0,17.99,white wine,,,,,1.0
Domaine Pardon Julienas 2016,7.0,5.0,12.99,red wine,french,old world,,,0.7142857142857143
Domaine Saint Ferréol Viognier 2015 PGI Pays d'Oc,26.0,26.0,13.99,white wine,french,old world,,south of france,1.0
Domaine de Villargeau 2016 Côteaux du Giennois,58.0,54.0,12.99,white wine,french,old world,sauvignon blanc,,0.9310344827586207
"Domaine de Villemajou 2015 Corbières Boutenac, Gérard Bertrand",28.0,25.0,16.99,red wine,french,old world,,south of france,0.8928571428571429
Domaine du Vaux Chenonceaux 2016,4.0,2.0,14.99,white wine,french,old world,,,0.5
Doudet Naudin Bouzeron Aligote,2.0,2.0,14.99,white wine,,,,,1.0
Dourthe Réserve Sauvignon Blanc 2016 Bordeaux Blanc Sec,28.0,23.0,11.99,white wine,french,old world,sauvignon blanc,bordeaux,0.8214285714285714
Dr Loosen Blue Slate Riesling BA,0.0,0.0,19.99,white wine,,,,,
Dr Loosen Slate Hill Riesling 2016,32.0,24.0,10.99,white wine,,,riesling,,0.75
Dreams Chardonnay 2014 Jermann,0.0,0.0,42.0,fine wine,italian,old world,chardonnay,,
Duc de Belmont Côteaux Bourguignons 2015 Loron et Fils,20.0,19.0,11.49,red wine,french,old world,,,0.95
Edna Valley Chardonnay 2015,74.0,69.0,15.99,white wine,,,chardonnay,,0.9324324324324325
Edna Valley Pinot Noir 2015,92.0,87.0,15.99,red wine,,,pinot noir,,0.9456521739130435
Emilio Moro 2015 Ribera del Duero,78.0,74.0,17.99,red wine,spanish,old world,tempranillo,,0.9487179487179487
Errazuriz Estate Series Carmenère 2016 Aconcagua Valley,108.0,96.0,9.99,red wine,chilean,new world,,,0.8888888888888888
Errazuriz Estate Series Chardonnay 2016 Casablanca Valley,58.0,52.0,9.99,white wine,chilean,new world,chardonnay,,0.896551724137931
Errazuriz Estate Series Merlot 2016 Valle de Curicó,51.0,46.0,9.99,red wine,chilean,new world,merlot,,0.9019607843137255
Errazuriz Sauvignon Blanc 2017 Casablanca Valley,80.0,70.0,9.99,white wine,chilean,new world,,,0.875
Errazuriz Single Vineyard Sauvignon Blanc 2016 Casablanca Valley,43.0,40.0,11.99,white wine,chilean,new world,sauvignon blanc,,0.9302325581395349
Escarpment Kiwa 2015,0.0,0.0,34.0,red wine,new-zealand,new world,,,
Escarpment Te Rehua 2013,0.0,0.0,70.0,fine wine,,,,,
Esprit de Begude Pinot Noir 2013 Haute Vallée de L'Aude,10.0,10.0,17.99,red wine,french,old world,pinot noir,,1.0
Esprit de Pennautier 2014 Cabardes,18.0,18.0,24.99,red wine,french,old world,,south of france,1.0
Excellence Ormarine Picpoul,8.0,7.0,10.99,white wine,french,old world,,,0.875
Fairbourne Sauvignon Blanc 2016 Marlborough,13.0,10.0,16.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.7692307692307693
Falanghina 2016 Terredora,41.0,38.0,12.99,white wine,italian,old world,,,0.926829268292683
Fattori Soave 2016,19.0,19.0,9.99,white wine,italian,old world,,,1.0
Faustino 1 Gran Reserva 1994 Rioja,18.0,18.0,37.5,fine wine,spanish,old world,tempranillo,rioja,1.0
Faustino 1 Gran Reserva 2005 Rioja,18.0,17.0,22.99,red wine,spanish,old world,tempranillo,rioja,0.9444444444444444
Ferraton Cotes du Rhone Villages Signargues,0.0,0.0,11.99,red wine,,,,,
Filsell Shiraz 2015,1.0,1.0,27.99,red wine,australian,new world,,,1.0
Finca Carelio Tempranillo 2015 Vino de la Tierra,204.0,187.0,9.99,red wine,spanish,old world,,,0.9166666666666666
Finca Dofi 2014 Alvaro Palacio,0.0,0.0,90.0,fine wine,,,,,
Fine Wine Aficionado Case x6,0.0,0.0,205.0,fine wine,,,,,
First Class Pinot Noir 2015 Bio Bio Valley,80.0,64.0,7.99,red wine,chilean,new world,pinot noir,,0.8
Fleurie Lafayette 2015,2.0,2.0,12.99,red wine,,,,,1.0
Flowers 'Camp Meeting Ridge'  Chardonnay 2013 Sonoma Coast,0.0,0.0,120.0,fine wine,,,,california,
Flowers Camp Ridge Pinot Noir 2013,0.0,0.0,120.0,fine wine,,,pinot noir,california,
Flowers Sonoma Coast Pinot Noir 2016,0.0,0.0,60.0,fine wine,,,,california,
Frankland Estate Riesling 2016,1.0,1.0,15.99,white wine,,,,,1.0
Gavi 2016 Araldica,62.0,58.0,9.99,white wine,italian,old world,,,0.9354838709677419
Gavi 2016 La Toledana,145.0,130.0,14.99,white wine,italian,old world,,,0.896551724137931
Geoffrey Martin St Veran,4.0,4.0,16.99,white wine,,,chardonnay,,1.0
Gewürztraminer 'Les Princes Abbés' 2015 Domaines Schlumberger,17.0,17.0,16.99,white wine,french,old world,,,1.0
Giesen Sauvignon Blanc 2016 Marlborough,161.0,142.0,9.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.8819875776397516
Gigondas Carobelle,0.0,0.0,17.99,white wine,,,,,
Glenelly Lady May 2010,0.0,0.0,35.0,fine wine,south-african,new world,,,
"Gnarly Dudes Shiraz 2016 Two Hands, Barossa Valley",39.0,37.0,21.99,red wine,australian,new world,,,0.9487179487179487
Goldwater Sauvignon Blanc 2016 Marlborough,126.0,114.0,11.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9047619047619048
Governo Toscana IGT,13.0,11.0,11.99,red wine,,,,,0.8461538461538461
Graham Beck Brut Rosé NV,32.0,31.0,14.99,white wine,south-african,new world,chardonnay,,0.96875
Graham Norton's Own Sauvignon Blanc 2016 Marlborough,137.0,129.0,10.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9416058394160584
Gran Volante Tinto 2016,9.0,7.0,9.99,red wine,spanish,old world,tempranillo,,0.7777777777777778
Grato Grati Rosso di Toscana 1991,39.0,33.0,29.99,fine wine,italian,old world,,,0.8461538461538461
Guado al Tasso 2014 Bolgheri Antinori,0.0,0.0,100.0,fine wine,italian,old world,merlot,,
Hardys Tintara Sangiovese,0.0,0.0,15.0,red wine,australian,new world,,,
Haut Poitou Sauvignon Blanc 2016 Pierre Sauvion,28.0,27.0,9.99,white wine,french,old world,sauvignon blanc,,0.9642857142857143
Haut Vol Rosé 2016 Vin de France,54.0,49.0,8.99,rose wine,french,old world,,,0.9074074074074074
Heggies Chardonnay 2013 Eden Valley,10.0,9.0,17.99,white wine,australian,new world,chardonnay,,0.9
"Hey Malbec! 2017 Matias Riccitelli, Mendoza",179.0,162.0,12.99,red wine,argentinian,new world,,,0.9050279329608939
Historialis Cahors Malbec 2016,1.0,1.0,11.99,red wine,,,,,1.0
Hospices de Beaujeu 2015,9.0,9.0,11.49,red wine,french,old world,,,1.0
Incanta Pinot Noir 2016,78.0,67.0,7.99,red wine,,,pinot noir,,0.8589743589743589
"Invivo Sauvignon Blanc 2017 Awatere Valley, Marlborough",66.0,62.0,11.99,white wine,new-zealand,new world,sauvignon blanc,marlborough wine,0.9393939393939394
Jaboulet Syrah 2013,8.0,6.0,11.99,red wine,french,old world,,,0.75
"Kaiken Seleccion Especial Malbec 2016, Mendoza",74.0,68.0,9.99,red wine,,,,,0.918918918918919
Kangarilla Road Chardonnay 2016 Adelaide Hills,16.0,11.0,13.99,white wine,australian,new world,,,0.6875
Kangarilla Road Primitivo 2015,8.0,7.0,13.99,red wine,australian,new world,,,0.875
Kangarilla Road Shiraz 2016 McLaren Vale,114.0,108.0,13.99,red wine,australian,new world,,,0.9473684210526315
Kanonkop Cabernet Sauvignon 2012 Stellenbosch,14.0,12.0,28.0,fine wine,south-african,new world,,,0.8571428571428571
Kanonkop Kadette Pinotage 2016,4.0,4.0,13.99,red wine,,,,,1.0
Kanonkop Pinotage 2015 Stellenbosch,22.0,20.0,28.0,fine wine,south-african,new world,,,0.9090909090909091
Klein Constantia Sauvignon Blanc 2016 Constantia,24.0,22.0,13.99,white wine,south-african,new world,sauvignon blanc,,0.9166666666666666
Krasno Sauvignon Blanc Ribolla 2016,124.0,112.0,8.99,white wine,,,sauvignon blanc,,0.9032258064516129
Kuhlmann-Platz Pinot Blanc 2016 Cave de Hunawihr,11.0,11.0,11.99,white wine,french,old world,,,1.0
Kuhlmann-Platz Riesling 2016 Cave de Hunawihr,27.0,25.0,11.99,white wine,french,old world,riesling,,0.9259259259259259
L'Etoile de Begude Chardonnay 2016 Limoux,24.0,23.0,15.99,white wine,french,old world,,,0.9583333333333334
L'Extra par Langlois Brut NV Crémant de Loire,38.0,35.0,13.99,white wine,french,old world,chardonnay,,0.9210526315789473
L'Extra par Langlois Rosé NV Crémant de Loire,20.0,20.0,13.99,white wine,french,old world,,,1.0
LA Spinetta Barbaresco Valeirano 2011,0.0,0.0,130.0,fine wine,,,,,
La Baume Grande Olivette Malbec 2015,50.0,45.0,7.99,red wine,french,old world,malbec,south of france,0.9
"La Baume La Grande Olivette, Chenin Blanc Vdf",4.0,2.0,7.99,white wine,,,,south of france,0.5
La Belle Angele Rose 2017,2.0,2.0,8.99,rose wine,,,,,1.0
La Belle Angele Sauvignon Blanc 2016,53.0,48.0,8.99,white wine,french,old world,sauvignon blanc,,0.9056603773584906
La Font Reserva 2011 Valencia,43.0,36.0,6.99,red wine,spanish,old world,,,0.8372093023255814
La Garnacha 2015 Salvaje del Moncayo,53.0,50.0,9.99,red wine,spanish,old world,,,0.9433962264150944
La Grange des Combes 2015 AOC St-Chinian-Roquebrun,70.0,67.0,12.99,red wine,french,old world,,south of france,0.9571428571428572
La Marotte,0.0,0.0,9.99,red wine,,,,,
La Réserve de Léoville-Barton 2014 St-Julien,18.0,12.0,36.0,fine wine,french,old world,,bordeaux,0.6666666666666666
La Spinetta Barbaresco Starderi 2011,0.0,0.0,125.0,fine wine,italian,old world,,,
La Spinetta Gallina 2011,0.0,0.0,130.0,fine wine,italian,old world,,,
La Spinetta Starderi 2013,0.0,0.0,130.0,fine wine,italian,old world,,,
La Spinetta Valeirano 2013,0.0,0.0,130.0,fine wine,italian,old world,,,
La Vieille Ferme 2016 Perrin et Fils,45.0,38.0,8.99,red wine,french,old world,,,0.8444444444444444
Ladoix Rouge 1er Cru 'Les Corvées' 2013 Domaine Chevalier,2.0,2.0,30.0,fine wine,french,old world,pinot noir,,1.0
Lady Sauvignon 2016 Casablanca Valley,34.0,30.0,7.99,white wine,chilean,new world,sauvignon blanc,,0.8823529411764706
Langhe Nebbiolo 2016 De Forville,24.0,21.0,11.99,red wine,italian,old world,,,0.875
Laroche Chablis 1er Forneaux 2015,0.0,0.0,30.0,fine wine,,,,chablis,
Las Maletas Malbec 2017 Mendoza,149.0,134.0,8.99,red wine,argentinian,new world,malbec,,0.8993288590604027
Lastarria Malbec 2016,24.0,21.0,7.99,red wine,chilean,new world,malbec,,0.875
Lay & Wheeler Barolo 2011,3.0,2.0,30.0,fine wine,italian,old world,,,0.6666666666666666
Lay & Wheeler Brunello di Montalcino 2011,6.0,6.0,32.0,fine wine,italian,old world,,,1.0
Lay & Wheeler Chablis 2014,3.0,0.0,30.0,fine wine,french,old world,chardonnay,burgundy,0.0
Lay & Wheeler Cote d'Or Les Charmes,1.0,0.0,45.0,fine wine,french,old world,,burgundy,0.0
Lay & Wheeler St Emilion 2014,6.0,2.0,24.99,fine wine,french,old world,,bordeaux,0.3333333333333333
Lay and Wheeler Rioja Gran Reserva 2008,18.0,16.0,30.0,fine wine,spanish,old world,tempranillo,rioja,0.8888888888888888
Le Palajo Limoux Chardonnay 2015 Dom de la Metairie d'Alon,8.0,8.0,22.99,white wine,french,old world,chardonnay,,1.0
Le Volte dell' Ornellaia 2015,11.0,10.0,23.99,red wine,italian,old world,merlot,,0.9090909090909091
Les Pagodes de Cos 2005 St-Estèphe,0.0,0.0,80.0,fine wine,french,old world,merlot,bordeaux,
Les Roitelieres Muscadet Serve et Maine 2017,1.0,1.0,9.99,white wine,,,,,1.0
Lirac 2016 Domaine des Garrigues,26.0,23.0,11.99,red wine,french,old world,,,0.8846153846153846
Lorgeril Chardonnay,1.0,0.0,11.99,white wine,,,,south of france,0.0
Louis Latour Pouilly Vinzelles,1.0,1.0,22.99,white wine,french,old world,,burgundy,1.0
Louison Rose 2016 Coteaux D'Aix En Provence,8.0,8.0,9.99,rose wine,,,,,1.0
Luis Felipe Edwards Gran Reserva Chardonnay 2017 Casablanca Valley,105.0,98.0,9.99,white wine,chilean,new world,,,0.9333333333333333
Luis Felipe Edwards Gran Reserva Merlot 2015 Colchagua Valley,94.0,89.0,9.99,red wine,chilean,new world,merlot,,0.9468085106382979
Luis Felipe Edwards Signature Series Syrah Reserva 2016 Central Valley,40.0,34.0,7.99,red wine,chilean,new world,,,0.85
