,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Puligny Montrachet 1er Cru Champ Gains Chavy 2014,0.0,0.0,55.0,fine wine,french,old world,chardonnay,,
Puligny-Montrachet 2013 Château de Puligny-Montrachet,0.0,0.0,50.0,fine wine,,,,,
Quartz Reef Pinot Noir 2015 Central Otago,26.0,18.0,21.0,fine wine,new-zealand,new world,pinot noir,,0.6923076923076923
Ragged Point Sauvignon Blanc 2017,52.0,40.0,8.99,white wine,new-zealand,new world,sauvignon blanc,,0.7692307692307693
Ramey Ritchie Vineyard Chardonnay 2013 Russian River Valley,0.0,0.0,60.0,fine wine,,,chardonnay,california,
Ramos Reserva 2015 Vinho Regional Alentejano,73.0,66.0,8.99,red wine,portuguese,old world,,,0.9041095890410958
Ravenswood Lodi Zinfandel 2014,280.0,266.0,14.99,red wine,,,,california,0.95
Reino de San Adrian Rioja Gran Reserva 2008,4.0,3.0,16.99,red wine,,,,,0.75
Rezabal Txakoli 2017,1.0,1.0,11.99,white wine,,,,,1.0
Rioja Blanco 2016 López de Haro,83.0,75.0,8.99,white wine,spanish,old world,,rioja,0.9036144578313253
Rioja Blanco 2016 Muga,39.0,34.0,12.99,white wine,spanish,old world,,rioja,0.8717948717948718
Rioja Crianza 2014 CVNE,120.0,105.0,9.99,red wine,spanish,old world,,rioja,0.875
Rioja Gran Reserva 2007 Marqués de Riscal,10.0,9.0,32.0,fine wine,spanish,old world,tempranillo,rioja,0.9
Rioja Gran Reserva 2008 Lagunilla,117.0,100.0,11.99,red wine,spanish,old world,tempranillo,rioja,0.8547008547008547
Rioja Gran Reserva 2009 Viña Alarde,223.0,192.0,11.99,red wine,spanish,old world,,rioja,0.8609865470852018
Rioja Gran Reserva 2009/2010 Marqués de Cáceres,30.0,30.0,21.99,red wine,spanish,old world,,rioja,1.0
Rioja Lanzaga Compania de Vinos Telmo Rodriguez 2011,0.0,0.0,24.99,red wine,spanish,old world,,rioja,
Rioja Reserva 2011 Lagunilla,139.0,122.0,9.99,red wine,spanish,old world,,rioja,0.8776978417266187
Rioja Reserva 2011 Marqués de Cáceres,47.0,44.0,15.99,red wine,spanish,old world,tempranillo,rioja,0.9361702127659575
Rioja Reserva 2012 Marqués de Riscal Magnum,16.0,16.0,34.99,red wine,spanish,old world,,rioja,1.0
Rioja Reserva 2012 Marqués de Vargas,28.0,24.0,17.99,red wine,spanish,old world,tempranillo,rioja,0.8571428571428571
Rioja Reserva 2012 Viña Alarde,354.0,298.0,9.99,red wine,spanish,old world,,rioja,0.8418079096045198
Rioja Reserva 2013 Beronia,142.0,136.0,16.99,red wine,spanish,old world,,rioja,0.9577464788732394
Rioja Reserva 2013 Marqués de Riscal,288.0,274.0,16.99,red wine,spanish,old world,tempranillo,rioja,0.9513888888888888
Rioja Reserva 2013 Viña Eguía,450.0,394.0,9.99,red wine,spanish,old world,,rioja,0.8755555555555555
Rioja Reserva 2013/14 CVNE,173.0,161.0,13.99,red wine,spanish,old world,,rioja,0.930635838150289
Rioja Reserva Imperial 2014 CVNE,25.0,24.0,24.99,red wine,spanish,old world,,rioja,0.96
Rioja Reserva Viña Ardanza 2007/2008 La Rioja Alta,112.0,109.0,25.99,red wine,spanish,old world,tempranillo,rioja,0.9732142857142857
Rioja Reserva Viña Ardanza 2008 La Rioja Alta,4.0,3.0,49.99,red wine,spanish,old world,tempranillo,rioja,0.75
"Roaring Meg Pinot Noir 2015 Mt Difficulty, Central Otago",37.0,33.0,19.99,red wine,new-zealand,new world,pinot noir,,0.8918918918918919
Roda Rioja Reserva 2012,0.0,0.0,29.0,fine wine,,,,,
Route 88 White Zinfandel 2015,10.0,8.0,8.49,rose wine,,,,,0.8
Royal Tokaji 5 Puttonyos 2013 Hungary,16.0,15.0,24.0,white wine,,,,,0.9375
Royal Tokaji Dry Tokaji 2015,27.0,21.0,11.99,white wine,,,,,0.7777777777777778
Royal Tokaji Gold Label 2013,3.0,3.0,40.0,fine wine,,,,,1.0
Royal Tokaji Late Harvest 2015,16.0,15.0,11.99,white wine,,,,,0.9375
"Rully Rouge ""En Rosey"" 2015 Maison Chanzy",7.0,6.0,17.99,red wine,french,old world,pinot noir,,0.8571428571428571
"Russian Jack Pinot Gris 2016, Marlborough",18.0,18.0,10.99,white wine,,,,,1.0
Russian Jack Pinot Noir 2014 Martinborough Vineyards,28.0,25.0,13.99,red wine,new-zealand,new world,pinot noir,,0.8928571428571429
